,congressional district,B00001_001E,B06010_003E,B06010_002E,B07010_004E,B07010_005E,B07010_006E,B07010_007E,B07010_008E,B07010_009E,B07010_010E,B07010_011E,B08014_002E,B08014_003E,B08014_004E,B08016_002E,B08101_009E,B08101_017E,B08101_025E,B08101_033E,B09010_002E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25027_002E,B25027_010E,Year,state
0,1,9453,472879,64755,90479,45221,72690,61006,70835,49645,21524,61479,11234,72691,133816,24895.0,245598,25259,20506,5060,33907,444189,3620,0,60,136142,15436,29087,60681,31267,76081,27048,7136,3074,127346,44971,2018,New Jersey
1,2,10533,486659,76651,96632,49248,85973,62711,64783,47140,19455,60717,12854,56701,133258,71981.0,243963,27700,11079,8075,34838,471336,7148,50,106,152270,20504,28536,62300,33586,73952,23262,5691,3110,125586,60296,2018,New Jersey
2,3,9971,496624,61326,79303,46256,73023,56603,71888,56377,25024,88150,6669,48100,142101,,258829,24012,9828,3896,12703,480684,3270,81,102,139693,14237,31019,61020,32194,103930,39461,11714,6605,146516,64267,2018,New Jersey
3,4,10146,502356,73863,89198,48774,73673,59174,67267,55126,21064,88080,9375,55282,133484,15022.0,245956,31290,11740,5004,30783,485465,4248,0,71,153390,13972,31427,62635,31713,92608,37903,7641,4598,136336,66344,2018,New Jersey
4,5,10209,462475,73211,75646,30960,59272,45735,56454,51085,24296,119027,4638,43775,147532,,239339,20279,24362,5460,9819,459571,2673,35,49,114557,8255,21893,53479,28652,130527,51805,12963,6754,140066,54023,2018,New Jersey
5,6,9125,462087,78832,87255,39321,73222,49199,59640,50587,22546,80317,27054,70113,126482,23882.0,224120,31150,30942,10965,20635,433673,5313,298,106,113226,8539,20887,52339,29114,95945,45881,8491,5523,107792,37304,2018,New Jersey
6,7,9951,467785,73224,68660,30453,54067,47870,59573,51376,27416,128370,6765,52701,150005,,259162,22605,24216,4099,9630,466968,4369,52,258,98560,7630,19258,54587,26343,129572,66644,15523,10887,135654,53588,2018,New Jersey
7,8,8048,438704,93142,81900,41346,71998,58039,52108,41901,20703,70709,26220,86373,109230,,208755,22452,38972,6809,35824,439080,6892,344,47,125317,8352,15546,50882,23408,93864,37896,11671,5373,89624,33878,2018,New Jersey
8,9,7740,458888,91009,61521,45254,73644,56634,65596,55532,23882,76825,24474,103881,123940,,212570,25660,56802,12700,15779,469273,6301,0,59,135731,9156,18904,56464,24299,107542,42577,12490,3894,87582,43192,2018,New Jersey
9,10,7216,409811,86758,93656,44973,65009,56130,56131,39512,14974,39426,37315,91425,84645,48621.0,157684,26876,51978,10699,50770,401729,5744,55,336,119596,13498,19372,57343,28098,62025,20901,5371,2253,67974,20526,2018,New Jersey
10,11,9813,466118,71419,73664,32790,53667,43663,53761,50218,23545,134810,7514,47203,155163,,259494,24970,12815,5463,8792,459222,2572,0,0,96754,9988,20801,48708,30208,130724,66266,16290,11434,139560,51415,2018,New Jersey
11,12,10169,496891,77767,85790,33323,64602,47633,62200,52519,25257,125567,11240,56325,161049,17430.0,241677,26949,35229,9221,11682,487181,4569,116,115,102030,7099,21886,50207,30692,132565,73343,16626,15669,138282,58014,2018,New Jersey
12,13,8009,461362,105127,88771,47571,92292,55040,58515,40851,18491,59831,80202,133925,75717,52960.0,135836,31302,111103,30784,44693,472533,9075,0,0,127725,9589,14855,50660,18258,92602,34405,8430,4776,54310,22282,2018,New Jersey
13,1,9453,472879,64755,90479,45221,72690,61006,70835,49645,21524,61479,11234,72691,133816,24895.0,245598,25259,20506,5060,33907,444189,3620,0,60,136142,15436,29087,60681,31267,76081,27048,7136,3074,127346,44971,2016,New Jersey
14,2,10533,486659,76651,96632,49248,85973,62711,64783,47140,19455,60717,12854,56701,133258,71981.0,243963,27700,11079,8075,34838,471336,7148,50,106,152270,20504,28536,62300,33586,73952,23262,5691,3110,125586,60296,2016,New Jersey
15,3,9971,496624,61326,79303,46256,73023,56603,71888,56377,25024,88150,6669,48100,142101,,258829,24012,9828,3896,12703,480684,3270,81,102,139693,14237,31019,61020,32194,103930,39461,11714,6605,146516,64267,2016,New Jersey
16,4,10146,502356,73863,89198,48774,73673,59174,67267,55126,21064,88080,9375,55282,133484,15022.0,245956,31290,11740,5004,30783,485465,4248,0,71,153390,13972,31427,62635,31713,92608,37903,7641,4598,136336,66344,2016,New Jersey
17,5,10209,462475,73211,75646,30960,59272,45735,56454,51085,24296,119027,4638,43775,147532,,239339,20279,24362,5460,9819,459571,2673,35,49,114557,8255,21893,53479,28652,130527,51805,12963,6754,140066,54023,2016,New Jersey
18,6,9125,462087,78832,87255,39321,73222,49199,59640,50587,22546,80317,27054,70113,126482,23882.0,224120,31150,30942,10965,20635,433673,5313,298,106,113226,8539,20887,52339,29114,95945,45881,8491,5523,107792,37304,2016,New Jersey
19,7,9951,467785,73224,68660,30453,54067,47870,59573,51376,27416,128370,6765,52701,150005,,259162,22605,24216,4099,9630,466968,4369,52,258,98560,7630,19258,54587,26343,129572,66644,15523,10887,135654,53588,2016,New Jersey
20,8,8048,438704,93142,81900,41346,71998,58039,52108,41901,20703,70709,26220,86373,109230,,208755,22452,38972,6809,35824,439080,6892,344,47,125317,8352,15546,50882,23408,93864,37896,11671,5373,89624,33878,2016,New Jersey
21,9,7740,458888,91009,61521,45254,73644,56634,65596,55532,23882,76825,24474,103881,123940,,212570,25660,56802,12700,15779,469273,6301,0,59,135731,9156,18904,56464,24299,107542,42577,12490,3894,87582,43192,2016,New Jersey
22,10,7216,409811,86758,93656,44973,65009,56130,56131,39512,14974,39426,37315,91425,84645,48621.0,157684,26876,51978,10699,50770,401729,5744,55,336,119596,13498,19372,57343,28098,62025,20901,5371,2253,67974,20526,2016,New Jersey
23,11,9813,466118,71419,73664,32790,53667,43663,53761,50218,23545,134810,7514,47203,155163,,259494,24970,12815,5463,8792,459222,2572,0,0,96754,9988,20801,48708,30208,130724,66266,16290,11434,139560,51415,2016,New Jersey
24,12,10169,496891,77767,85790,33323,64602,47633,62200,52519,25257,125567,11240,56325,161049,17430.0,241677,26949,35229,9221,11682,487181,4569,116,115,102030,7099,21886,50207,30692,132565,73343,16626,15669,138282,58014,2016,New Jersey
25,13,8009,461362,105127,88771,47571,92292,55040,58515,40851,18491,59831,80202,133925,75717,52960.0,135836,31302,111103,30784,44693,472533,9075,0,0,127725,9589,14855,50660,18258,92602,34405,8430,4776,54310,22282,2016,New Jersey
26,1,9453,472879,64755,90479,45221,72690,61006,70835,49645,21524,61479,11234,72691,133816,24895.0,245598,25259,20506,5060,33907,444189,3620,0,60,136142,15436,29087,60681,31267,76081,27048,7136,3074,127346,44971,2014,New Jersey
27,2,10533,486659,76651,96632,49248,85973,62711,64783,47140,19455,60717,12854,56701,133258,71981.0,243963,27700,11079,8075,34838,471336,7148,50,106,152270,20504,28536,62300,33586,73952,23262,5691,3110,125586,60296,2014,New Jersey
28,3,9971,496624,61326,79303,46256,73023,56603,71888,56377,25024,88150,6669,48100,142101,,258829,24012,9828,3896,12703,480684,3270,81,102,139693,14237,31019,61020,32194,103930,39461,11714,6605,146516,64267,2014,New Jersey
29,4,10146,502356,73863,89198,48774,73673,59174,67267,55126,21064,88080,9375,55282,133484,15022.0,245956,31290,11740,5004,30783,485465,4248,0,71,153390,13972,31427,62635,31713,92608,37903,7641,4598,136336,66344,2014,New Jersey
30,5,10209,462475,73211,75646,30960,59272,45735,56454,51085,24296,119027,4638,43775,147532,,239339,20279,24362,5460,9819,459571,2673,35,49,114557,8255,21893,53479,28652,130527,51805,12963,6754,140066,54023,2014,New Jersey
31,6,9125,462087,78832,87255,39321,73222,49199,59640,50587,22546,80317,27054,70113,126482,23882.0,224120,31150,30942,10965,20635,433673,5313,298,106,113226,8539,20887,52339,29114,95945,45881,8491,5523,107792,37304,2014,New Jersey
32,7,9951,467785,73224,68660,30453,54067,47870,59573,51376,27416,128370,6765,52701,150005,,259162,22605,24216,4099,9630,466968,4369,52,258,98560,7630,19258,54587,26343,129572,66644,15523,10887,135654,53588,2014,New Jersey
33,8,8048,438704,93142,81900,41346,71998,58039,52108,41901,20703,70709,26220,86373,109230,,208755,22452,38972,6809,35824,439080,6892,344,47,125317,8352,15546,50882,23408,93864,37896,11671,5373,89624,33878,2014,New Jersey
34,9,7740,458888,91009,61521,45254,73644,56634,65596,55532,23882,76825,24474,103881,123940,,212570,25660,56802,12700,15779,469273,6301,0,59,135731,9156,18904,56464,24299,107542,42577,12490,3894,87582,43192,2014,New Jersey
35,10,7216,409811,86758,93656,44973,65009,56130,56131,39512,14974,39426,37315,91425,84645,48621.0,157684,26876,51978,10699,50770,401729,5744,55,336,119596,13498,19372,57343,28098,62025,20901,5371,2253,67974,20526,2014,New Jersey
36,11,9813,466118,71419,73664,32790,53667,43663,53761,50218,23545,134810,7514,47203,155163,,259494,24970,12815,5463,8792,459222,2572,0,0,96754,9988,20801,48708,30208,130724,66266,16290,11434,139560,51415,2014,New Jersey
37,12,10169,496891,77767,85790,33323,64602,47633,62200,52519,25257,125567,11240,56325,161049,17430.0,241677,26949,35229,9221,11682,487181,4569,116,115,102030,7099,21886,50207,30692,132565,73343,16626,15669,138282,58014,2014,New Jersey
38,13,8009,461362,105127,88771,47571,92292,55040,58515,40851,18491,59831,80202,133925,75717,52960.0,135836,31302,111103,30784,44693,472533,9075,0,0,127725,9589,14855,50660,18258,92602,34405,8430,4776,54310,22282,2014,New Jersey
39,1,9453,472879,64755,90479,45221,72690,61006,70835,49645,21524,61479,11234,72691,133816,24895.0,245598,25259,20506,5060,33907,444189,3620,0,60,136142,15436,29087,60681,31267,76081,27048,7136,3074,127346,44971,2012,New Jersey
40,2,10533,486659,76651,96632,49248,85973,62711,64783,47140,19455,60717,12854,56701,133258,71981.0,243963,27700,11079,8075,34838,471336,7148,50,106,152270,20504,28536,62300,33586,73952,23262,5691,3110,125586,60296,2012,New Jersey
41,3,9971,496624,61326,79303,46256,73023,56603,71888,56377,25024,88150,6669,48100,142101,,258829,24012,9828,3896,12703,480684,3270,81,102,139693,14237,31019,61020,32194,103930,39461,11714,6605,146516,64267,2012,New Jersey
42,4,10146,502356,73863,89198,48774,73673,59174,67267,55126,21064,88080,9375,55282,133484,15022.0,245956,31290,11740,5004,30783,485465,4248,0,71,153390,13972,31427,62635,31713,92608,37903,7641,4598,136336,66344,2012,New Jersey
43,5,10209,462475,73211,75646,30960,59272,45735,56454,51085,24296,119027,4638,43775,147532,,239339,20279,24362,5460,9819,459571,2673,35,49,114557,8255,21893,53479,28652,130527,51805,12963,6754,140066,54023,2012,New Jersey
44,6,9125,462087,78832,87255,39321,73222,49199,59640,50587,22546,80317,27054,70113,126482,23882.0,224120,31150,30942,10965,20635,433673,5313,298,106,113226,8539,20887,52339,29114,95945,45881,8491,5523,107792,37304,2012,New Jersey
45,7,9951,467785,73224,68660,30453,54067,47870,59573,51376,27416,128370,6765,52701,150005,,259162,22605,24216,4099,9630,466968,4369,52,258,98560,7630,19258,54587,26343,129572,66644,15523,10887,135654,53588,2012,New Jersey
46,8,8048,438704,93142,81900,41346,71998,58039,52108,41901,20703,70709,26220,86373,109230,,208755,22452,38972,6809,35824,439080,6892,344,47,125317,8352,15546,50882,23408,93864,37896,11671,5373,89624,33878,2012,New Jersey
47,9,7740,458888,91009,61521,45254,73644,56634,65596,55532,23882,76825,24474,103881,123940,,212570,25660,56802,12700,15779,469273,6301,0,59,135731,9156,18904,56464,24299,107542,42577,12490,3894,87582,43192,2012,New Jersey
48,10,7216,409811,86758,93656,44973,65009,56130,56131,39512,14974,39426,37315,91425,84645,48621.0,157684,26876,51978,10699,50770,401729,5744,55,336,119596,13498,19372,57343,28098,62025,20901,5371,2253,67974,20526,2012,New Jersey
49,11,9813,466118,71419,73664,32790,53667,43663,53761,50218,23545,134810,7514,47203,155163,,259494,24970,12815,5463,8792,459222,2572,0,0,96754,9988,20801,48708,30208,130724,66266,16290,11434,139560,51415,2012,New Jersey
50,12,10169,496891,77767,85790,33323,64602,47633,62200,52519,25257,125567,11240,56325,161049,17430.0,241677,26949,35229,9221,11682,487181,4569,116,115,102030,7099,21886,50207,30692,132565,73343,16626,15669,138282,58014,2012,New Jersey
51,13,8009,461362,105127,88771,47571,92292,55040,58515,40851,18491,59831,80202,133925,75717,52960.0,135836,31302,111103,30784,44693,472533,9075,0,0,127725,9589,14855,50660,18258,92602,34405,8430,4776,54310,22282,2012,New Jersey
52,1,9453,472879,64755,90479,45221,72690,61006,70835,49645,21524,61479,11234,72691,133816,24895.0,245598,25259,20506,5060,33907,444189,3620,0,60,136142,15436,29087,60681,31267,76081,27048,7136,3074,127346,44971,2010,New Jersey
53,2,10533,486659,76651,96632,49248,85973,62711,64783,47140,19455,60717,12854,56701,133258,71981.0,243963,27700,11079,8075,34838,471336,7148,50,106,152270,20504,28536,62300,33586,73952,23262,5691,3110,125586,60296,2010,New Jersey
54,3,9971,496624,61326,79303,46256,73023,56603,71888,56377,25024,88150,6669,48100,142101,,258829,24012,9828,3896,12703,480684,3270,81,102,139693,14237,31019,61020,32194,103930,39461,11714,6605,146516,64267,2010,New Jersey
55,4,10146,502356,73863,89198,48774,73673,59174,67267,55126,21064,88080,9375,55282,133484,15022.0,245956,31290,11740,5004,30783,485465,4248,0,71,153390,13972,31427,62635,31713,92608,37903,7641,4598,136336,66344,2010,New Jersey
56,5,10209,462475,73211,75646,30960,59272,45735,56454,51085,24296,119027,4638,43775,147532,,239339,20279,24362,5460,9819,459571,2673,35,49,114557,8255,21893,53479,28652,130527,51805,12963,6754,140066,54023,2010,New Jersey
57,6,9125,462087,78832,87255,39321,73222,49199,59640,50587,22546,80317,27054,70113,126482,23882.0,224120,31150,30942,10965,20635,433673,5313,298,106,113226,8539,20887,52339,29114,95945,45881,8491,5523,107792,37304,2010,New Jersey
58,7,9951,467785,73224,68660,30453,54067,47870,59573,51376,27416,128370,6765,52701,150005,,259162,22605,24216,4099,9630,466968,4369,52,258,98560,7630,19258,54587,26343,129572,66644,15523,10887,135654,53588,2010,New Jersey
59,8,8048,438704,93142,81900,41346,71998,58039,52108,41901,20703,70709,26220,86373,109230,,208755,22452,38972,6809,35824,439080,6892,344,47,125317,8352,15546,50882,23408,93864,37896,11671,5373,89624,33878,2010,New Jersey
60,9,7740,458888,91009,61521,45254,73644,56634,65596,55532,23882,76825,24474,103881,123940,,212570,25660,56802,12700,15779,469273,6301,0,59,135731,9156,18904,56464,24299,107542,42577,12490,3894,87582,43192,2010,New Jersey
61,10,7216,409811,86758,93656,44973,65009,56130,56131,39512,14974,39426,37315,91425,84645,48621.0,157684,26876,51978,10699,50770,401729,5744,55,336,119596,13498,19372,57343,28098,62025,20901,5371,2253,67974,20526,2010,New Jersey
62,11,9813,466118,71419,73664,32790,53667,43663,53761,50218,23545,134810,7514,47203,155163,,259494,24970,12815,5463,8792,459222,2572,0,0,96754,9988,20801,48708,30208,130724,66266,16290,11434,139560,51415,2010,New Jersey
63,12,10169,496891,77767,85790,33323,64602,47633,62200,52519,25257,125567,11240,56325,161049,17430.0,241677,26949,35229,9221,11682,487181,4569,116,115,102030,7099,21886,50207,30692,132565,73343,16626,15669,138282,58014,2010,New Jersey
64,13,8009,461362,105127,88771,47571,92292,55040,58515,40851,18491,59831,80202,133925,75717,52960.0,135836,31302,111103,30784,44693,472533,9075,0,0,127725,9589,14855,50660,18258,92602,34405,8430,4776,54310,22282,2010,New Jersey
65,1,6908,427288,90148,136943,53006,72198,58278,50210,24682,8770,23201,52546,96367,57522,,107416,21912,67305,21100,97700,407530,10428,84,63,124857,20716,21404,47116,19008,39992,19311,7416,3256,74124,50143,2018,Pennsylvania
66,2,6598,436745,91671,121514,49603,67750,51516,53411,34786,14302,43863,54680,98309,73129,232885.0,119500,17154,74761,25615,59541,407282,6008,59,0,118390,13307,16920,48989,20030,64904,36507,16687,9376,74777,54487,2018,Pennsylvania
67,3,15337,473857,54469,117447,60906,88643,64387,62887,36927,13517,29143,11216,60099,114335,43169.0,227984,24920,2542,11406,43530,431328,2572,38,0,169065,18541,25318,45645,37334,58639,24647,4756,3239,106073,73431,2018,Pennsylvania
68,4,12098,482178,52370,96342,49875,77187,64754,68078,47479,20319,58144,5788,55705,148810,,254195,24304,6617,7255,29683,459368,3383,129,0,141420,15728,23654,51115,38105,96292,42571,10536,6053,124918,73374,2018,Pennsylvania
69,5,18128,484440,61257,127530,57178,97661,69512,64035,33398,10433,24693,10788,55696,119793,16218.0,214149,28538,2818,17648,31922,433124,3578,0,0,177438,21412,24433,38548,36735,51903,22287,4155,6953,98021,82997,2018,Pennsylvania
70,6,11008,519320,60587,93592,42786,74872,63082,70227,53516,24717,96528,9709,65246,167590,14353.0,285051,26502,12777,10911,24263,482732,2478,0,0,123957,13516,22203,52710,31097,118815,52465,15285,10268,146046,53184,2018,Pennsylvania
71,7,10194,485198,61678,85990,41334,63799,63141,66324,50392,22282,91936,7973,66173,153777,,261170,21082,21193,9947,17480,453966,3701,0,0,119337,8194,23825,48167,31610,112365,53420,14745,11515,131796,51986,2018,Pennsylvania
72,8,10018,486350,58766,83215,44581,72476,60577,69808,50657,21967,83069,4204,55570,157019,,277692,25131,10049,5060,13757,466089,2588,52,31,136904,11458,28346,64222,31647,100442,44950,10507,6435,134366,58907,2018,Pennsylvania
73,9,17774,493407,63151,111217,59917,94278,74988,70608,40106,14407,27886,7050,47622,119259,18788.0,238550,31146,799,9026,37675,468214,3649,28,64,196657,25467,26299,43827,33740,52571,18908,3837,2695,106416,90443,2018,Pennsylvania
74,10,17412,499407,59656,119203,60817,95875,72651,65583,38304,14385,32589,7787,49862,130160,13212.0,236843,28549,1652,10338,31858,471233,4427,0,0,185053,23584,24201,52256,35848,59034,25051,6424,3807,109211,84427,2018,Pennsylvania
75,11,11508,501506,68085,121530,61402,96727,62996,68947,40284,15405,34215,9578,57550,121413,48619.0,234122,32048,5715,10303,44406,470039,4119,0,359,169596,21518,26028,57468,39461,64532,26688,5822,2467,114253,72349,2018,Pennsylvania
76,12,12427,458378,54623,113283,60078,91667,64867,59410,35606,11594,21873,6902,51314,113218,6613.0,213378,24325,2215,8866,45777,433221,4655,46,0,182419,19335,25877,40329,34526,51847,18198,3871,1730,92820,87119,2018,Pennsylvania
77,13,9382,489962,74651,92355,46545,75494,64386,73471,52162,22439,63110,10913,73826,145318,131597.0,229789,29078,33079,7242,30767,475295,5003,0,0,143807,13864,24348,54147,28565,102606,38782,11384,5835,122676,57381,2018,Pennsylvania
78,14,8754,446492,47128,114725,53755,84478,62585,58399,32831,10750,28969,25135,87957,101581,138929.0,161433,26780,38267,18406,44006,398954,2860,0,186,120092,20562,23300,51440,33727,62539,30055,9051,7935,83068,62980,2018,Pennsylvania
79,15,10786,519061,61645,107331,51917,89596,69337,71807,50821,20703,57549,9409,57679,142048,75044.0,271328,25994,4474,6968,39739,486966,5525,0,0,149840,16855,31023,55672,38994,81671,38282,8040,5615,131253,61314,2018,Pennsylvania
80,16,11281,510883,69970,106636,54579,88269,72261,70070,46656,16548,55864,23129,52524,152056,37394.0,262016,34038,5467,12972,40545,471913,4846,0,113,149286,19426,25231,46095,27049,79674,33253,7922,5566,122934,60455,2018,Pennsylvania
81,17,13310,502804,53262,99328,54749,89933,71633,80096,48013,17496,41556,9260,57433,131454,29667.0,262344,29207,4385,7562,41894,474082,4303,98,14,182553,21787,26545,49162,35966,63314,26357,5687,3955,122221,71210,2018,Pennsylvania
82,18,10820,489822,52247,94326,41663,81655,67298,76035,48486,21237,59122,6752,61261,150487,,247179,26203,13779,7374,16669,467407,3283,0,73,141778,12277,24714,51215,45043,106276,41731,10107,5220,125807,77889,2018,Pennsylvania
83,19,11986,541742,54051,103885,53415,84740,78927,88943,54504,21690,55638,7431,53253,167688,30739.0,302940,27937,2542,10871,29183,496086,3248,0,70,174488,21831,28278,56270,39517,77807,35302,7434,3911,148275,68547,2018,Pennsylvania
84,1,6908,427288,90148,136943,53006,72198,58278,50210,24682,8770,23201,52546,96367,57522,,107416,21912,67305,21100,97700,407530,10428,84,63,124857,20716,21404,47116,19008,39992,19311,7416,3256,74124,50143,2016,Pennsylvania
85,2,6598,436745,91671,121514,49603,67750,51516,53411,34786,14302,43863,54680,98309,73129,232885.0,119500,17154,74761,25615,59541,407282,6008,59,0,118390,13307,16920,48989,20030,64904,36507,16687,9376,74777,54487,2016,Pennsylvania
86,3,15337,473857,54469,117447,60906,88643,64387,62887,36927,13517,29143,11216,60099,114335,43169.0,227984,24920,2542,11406,43530,431328,2572,38,0,169065,18541,25318,45645,37334,58639,24647,4756,3239,106073,73431,2016,Pennsylvania
87,4,12098,482178,52370,96342,49875,77187,64754,68078,47479,20319,58144,5788,55705,148810,,254195,24304,6617,7255,29683,459368,3383,129,0,141420,15728,23654,51115,38105,96292,42571,10536,6053,124918,73374,2016,Pennsylvania
88,5,18128,484440,61257,127530,57178,97661,69512,64035,33398,10433,24693,10788,55696,119793,16218.0,214149,28538,2818,17648,31922,433124,3578,0,0,177438,21412,24433,38548,36735,51903,22287,4155,6953,98021,82997,2016,Pennsylvania
89,6,11008,519320,60587,93592,42786,74872,63082,70227,53516,24717,96528,9709,65246,167590,14353.0,285051,26502,12777,10911,24263,482732,2478,0,0,123957,13516,22203,52710,31097,118815,52465,15285,10268,146046,53184,2016,Pennsylvania
90,7,10194,485198,61678,85990,41334,63799,63141,66324,50392,22282,91936,7973,66173,153777,,261170,21082,21193,9947,17480,453966,3701,0,0,119337,8194,23825,48167,31610,112365,53420,14745,11515,131796,51986,2016,Pennsylvania
91,8,10018,486350,58766,83215,44581,72476,60577,69808,50657,21967,83069,4204,55570,157019,,277692,25131,10049,5060,13757,466089,2588,52,31,136904,11458,28346,64222,31647,100442,44950,10507,6435,134366,58907,2016,Pennsylvania
92,9,17774,493407,63151,111217,59917,94278,74988,70608,40106,14407,27886,7050,47622,119259,18788.0,238550,31146,799,9026,37675,468214,3649,28,64,196657,25467,26299,43827,33740,52571,18908,3837,2695,106416,90443,2016,Pennsylvania
93,10,17412,499407,59656,119203,60817,95875,72651,65583,38304,14385,32589,7787,49862,130160,13212.0,236843,28549,1652,10338,31858,471233,4427,0,0,185053,23584,24201,52256,35848,59034,25051,6424,3807,109211,84427,2016,Pennsylvania
94,11,11508,501506,68085,121530,61402,96727,62996,68947,40284,15405,34215,9578,57550,121413,48619.0,234122,32048,5715,10303,44406,470039,4119,0,359,169596,21518,26028,57468,39461,64532,26688,5822,2467,114253,72349,2016,Pennsylvania
95,12,12427,458378,54623,113283,60078,91667,64867,59410,35606,11594,21873,6902,51314,113218,6613.0,213378,24325,2215,8866,45777,433221,4655,46,0,182419,19335,25877,40329,34526,51847,18198,3871,1730,92820,87119,2016,Pennsylvania
96,13,9382,489962,74651,92355,46545,75494,64386,73471,52162,22439,63110,10913,73826,145318,131597.0,229789,29078,33079,7242,30767,475295,5003,0,0,143807,13864,24348,54147,28565,102606,38782,11384,5835,122676,57381,2016,Pennsylvania
97,14,8754,446492,47128,114725,53755,84478,62585,58399,32831,10750,28969,25135,87957,101581,138929.0,161433,26780,38267,18406,44006,398954,2860,0,186,120092,20562,23300,51440,33727,62539,30055,9051,7935,83068,62980,2016,Pennsylvania
98,15,10786,519061,61645,107331,51917,89596,69337,71807,50821,20703,57549,9409,57679,142048,75044.0,271328,25994,4474,6968,39739,486966,5525,0,0,149840,16855,31023,55672,38994,81671,38282,8040,5615,131253,61314,2016,Pennsylvania
99,16,11281,510883,69970,106636,54579,88269,72261,70070,46656,16548,55864,23129,52524,152056,37394.0,262016,34038,5467,12972,40545,471913,4846,0,113,149286,19426,25231,46095,27049,79674,33253,7922,5566,122934,60455,2016,Pennsylvania
100,17,13310,502804,53262,99328,54749,89933,71633,80096,48013,17496,41556,9260,57433,131454,29667.0,262344,29207,4385,7562,41894,474082,4303,98,14,182553,21787,26545,49162,35966,63314,26357,5687,3955,122221,71210,2016,Pennsylvania
101,18,10820,489822,52247,94326,41663,81655,67298,76035,48486,21237,59122,6752,61261,150487,,247179,26203,13779,7374,16669,467407,3283,0,73,141778,12277,24714,51215,45043,106276,41731,10107,5220,125807,77889,2016,Pennsylvania
102,19,11986,541742,54051,103885,53415,84740,78927,88943,54504,21690,55638,7431,53253,167688,30739.0,302940,27937,2542,10871,29183,496086,3248,0,70,174488,21831,28278,56270,39517,77807,35302,7434,3911,148275,68547,2016,Pennsylvania
103,1,6908,427288,90148,136943,53006,72198,58278,50210,24682,8770,23201,52546,96367,57522,,107416,21912,67305,21100,97700,407530,10428,84,63,124857,20716,21404,47116,19008,39992,19311,7416,3256,74124,50143,2014,Pennsylvania
104,2,6598,436745,91671,121514,49603,67750,51516,53411,34786,14302,43863,54680,98309,73129,232885.0,119500,17154,74761,25615,59541,407282,6008,59,0,118390,13307,16920,48989,20030,64904,36507,16687,9376,74777,54487,2014,Pennsylvania
105,3,15337,473857,54469,117447,60906,88643,64387,62887,36927,13517,29143,11216,60099,114335,43169.0,227984,24920,2542,11406,43530,431328,2572,38,0,169065,18541,25318,45645,37334,58639,24647,4756,3239,106073,73431,2014,Pennsylvania
106,4,12098,482178,52370,96342,49875,77187,64754,68078,47479,20319,58144,5788,55705,148810,,254195,24304,6617,7255,29683,459368,3383,129,0,141420,15728,23654,51115,38105,96292,42571,10536,6053,124918,73374,2014,Pennsylvania
107,5,18128,484440,61257,127530,57178,97661,69512,64035,33398,10433,24693,10788,55696,119793,16218.0,214149,28538,2818,17648,31922,433124,3578,0,0,177438,21412,24433,38548,36735,51903,22287,4155,6953,98021,82997,2014,Pennsylvania
108,6,11008,519320,60587,93592,42786,74872,63082,70227,53516,24717,96528,9709,65246,167590,14353.0,285051,26502,12777,10911,24263,482732,2478,0,0,123957,13516,22203,52710,31097,118815,52465,15285,10268,146046,53184,2014,Pennsylvania
109,7,10194,485198,61678,85990,41334,63799,63141,66324,50392,22282,91936,7973,66173,153777,,261170,21082,21193,9947,17480,453966,3701,0,0,119337,8194,23825,48167,31610,112365,53420,14745,11515,131796,51986,2014,Pennsylvania
110,8,10018,486350,58766,83215,44581,72476,60577,69808,50657,21967,83069,4204,55570,157019,,277692,25131,10049,5060,13757,466089,2588,52,31,136904,11458,28346,64222,31647,100442,44950,10507,6435,134366,58907,2014,Pennsylvania
111,9,17774,493407,63151,111217,59917,94278,74988,70608,40106,14407,27886,7050,47622,119259,18788.0,238550,31146,799,9026,37675,468214,3649,28,64,196657,25467,26299,43827,33740,52571,18908,3837,2695,106416,90443,2014,Pennsylvania
112,10,17412,499407,59656,119203,60817,95875,72651,65583,38304,14385,32589,7787,49862,130160,13212.0,236843,28549,1652,10338,31858,471233,4427,0,0,185053,23584,24201,52256,35848,59034,25051,6424,3807,109211,84427,2014,Pennsylvania
113,11,11508,501506,68085,121530,61402,96727,62996,68947,40284,15405,34215,9578,57550,121413,48619.0,234122,32048,5715,10303,44406,470039,4119,0,359,169596,21518,26028,57468,39461,64532,26688,5822,2467,114253,72349,2014,Pennsylvania
114,12,12427,458378,54623,113283,60078,91667,64867,59410,35606,11594,21873,6902,51314,113218,6613.0,213378,24325,2215,8866,45777,433221,4655,46,0,182419,19335,25877,40329,34526,51847,18198,3871,1730,92820,87119,2014,Pennsylvania
115,13,9382,489962,74651,92355,46545,75494,64386,73471,52162,22439,63110,10913,73826,145318,131597.0,229789,29078,33079,7242,30767,475295,5003,0,0,143807,13864,24348,54147,28565,102606,38782,11384,5835,122676,57381,2014,Pennsylvania
116,14,8754,446492,47128,114725,53755,84478,62585,58399,32831,10750,28969,25135,87957,101581,138929.0,161433,26780,38267,18406,44006,398954,2860,0,186,120092,20562,23300,51440,33727,62539,30055,9051,7935,83068,62980,2014,Pennsylvania
