,congressional district,B00001_001E,B06010_003E,B06010_002E,B07010_004E,B07010_005E,B07010_006E,B07010_007E,B07010_008E,B07010_009E,B07010_010E,B07010_011E,B08014_002E,B08014_003E,B08014_004E,B08016_002E,B08101_009E,B08101_017E,B08101_025E,B08101_033E,B09010_002E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25027_002E,B25027_010E,Year,state
446,12,8433,488934,93736,120277,63942,96554,74939,64590,29804,10773,28055,10977,80787,131311,215701.0,237578,38298,8670,6993,79257,461188,8061,76,0,121422,16378,24625,72959,32696,74930,23858,5326,3406,113095,39896,2018,North Carolina
447,13,9531,526585,80823,110939,63338,95451,77472,73252,43613,16660,45860,9182,75887,144905,205429.0,284216,33263,4656,5507,48824,496780,7322,64,583,110222,18062,29873,80171,39232,102997,31531,8254,5877,135034,46446,2018,North Carolina
448,1,9783,440273,77704,125615,63055,85793,61558,54487,25808,7063,16894,10213,53606,88340,36730.0,192403,31710,1273,5455,77338,424940,8590,0,0,114777,26870,28818,65847,34046,39733,12290,3327,1774,85247,63650,2016,North Carolina
449,2,10617,492395,87854,117735,61975,91933,71405,68759,37684,14247,28657,7520,60849,123438,64699.0,253909,31038,2040,8763,53294,460198,6634,86,66,118957,20921,34520,78833,42928,63919,17858,2777,2069,115657,55555,2016,North Carolina
450,3,10260,534559,63107,122351,57237,93448,78497,83763,43202,17426,38635,7186,66819,147478,72733.0,274208,41677,1966,9950,34125,471345,4117,0,0,107923,26266,39110,82604,45288,75849,23274,6238,4043,125425,63248,2016,North Carolina
451,4,10248,567046,90021,103897,49032,78415,66721,79280,59339,24576,105786,10962,84571,186965,228933.0,313887,36125,9752,9237,31120,543561,3858,93,0,71179,15279,23504,67894,42423,166528,73170,18126,22674,163053,42705,2016,North Carolina
452,5,9363,496709,70258,119333,60419,92871,71346,68011,35819,12131,36779,6945,52465,117887,50183.0,256090,25532,1086,4061,36127,477136,5320,0,44,129861,18186,30073,68726,39870,74980,25879,7162,4171,121848,81384,2016,North Carolina
453,6,9229,501910,76741,98037,58568,96223,74390,74512,41577,16767,41836,5579,54823,132316,78650.0,270725,28228,663,2113,37697,490695,3693,0,0,118904,25443,31736,72566,43491,85700,29367,6674,4384,133044,74189,2016,North Carolina
454,7,9751,517048,83775,129217,67915,95595,70462,66627,36382,12512,38338,6627,61885,128838,56727.0,246641,31011,778,4257,62928,501159,4615,26,19,120739,22220,33997,74640,45608,77224,26073,6480,5023,118517,76552,2016,North Carolina
455,8,8709,470157,85074,105653,61065,89335,67555,69505,34681,12718,29645,7946,66344,117168,134176.0,239747,32705,4263,3464,61031,455982,6327,81,230,112045,20722,33269,73409,38473,64384,20298,4397,2496,119168,51009,2016,North Carolina
456,9,10570,576325,85220,99010,56497,81897,75516,91191,56852,24910,90452,5946,82863,192924,193754.0,330238,31921,5639,4738,39581,567132,4065,0,0,100662,16278,34102,91190,47986,152488,52550,13390,4689,187739,47978,2016,North Carolina
457,10,9275,480472,77240,111936,64952,97148,71931,62934,32941,9946,28684,4575,45627,111587,34053.0,241547,23350,830,3136,42699,470349,5194,0,125,122052,25162,34102,71969,46276,59410,21018,4390,2223,122685,71386,2016,North Carolina
458,11,8783,523243,67489,123565,68433,100259,81582,68625,39156,11726,29897,8805,56150,121384,39688.0,231634,29635,1388,6868,44217,505156,4527,0,55,124519,24593,31324,82256,47399,84976,28972,8922,5771,116280,94761,2016,North Carolina
459,12,8433,488934,93736,120277,63942,96554,74939,64590,29804,10773,28055,10977,80787,131311,215701.0,237578,38298,8670,6993,79257,461188,8061,76,0,121422,16378,24625,72959,32696,74930,23858,5326,3406,113095,39896,2016,North Carolina
460,13,9531,526585,80823,110939,63338,95451,77472,73252,43613,16660,45860,9182,75887,144905,205429.0,284216,33263,4656,5507,48824,496780,7322,64,583,110222,18062,29873,80171,39232,102997,31531,8254,5877,135034,46446,2016,North Carolina
461,1,9783,440273,77704,125615,63055,85793,61558,54487,25808,7063,16894,10213,53606,88340,36730.0,192403,31710,1273,5455,77338,424940,8590,0,0,114777,26870,28818,65847,34046,39733,12290,3327,1774,85247,63650,2014,North Carolina
462,2,10617,492395,87854,117735,61975,91933,71405,68759,37684,14247,28657,7520,60849,123438,64699.0,253909,31038,2040,8763,53294,460198,6634,86,66,118957,20921,34520,78833,42928,63919,17858,2777,2069,115657,55555,2014,North Carolina
463,3,10260,534559,63107,122351,57237,93448,78497,83763,43202,17426,38635,7186,66819,147478,72733.0,274208,41677,1966,9950,34125,471345,4117,0,0,107923,26266,39110,82604,45288,75849,23274,6238,4043,125425,63248,2014,North Carolina
464,4,10248,567046,90021,103897,49032,78415,66721,79280,59339,24576,105786,10962,84571,186965,228933.0,313887,36125,9752,9237,31120,543561,3858,93,0,71179,15279,23504,67894,42423,166528,73170,18126,22674,163053,42705,2014,North Carolina
465,5,9363,496709,70258,119333,60419,92871,71346,68011,35819,12131,36779,6945,52465,117887,50183.0,256090,25532,1086,4061,36127,477136,5320,0,44,129861,18186,30073,68726,39870,74980,25879,7162,4171,121848,81384,2014,North Carolina
466,6,9229,501910,76741,98037,58568,96223,74390,74512,41577,16767,41836,5579,54823,132316,78650.0,270725,28228,663,2113,37697,490695,3693,0,0,118904,25443,31736,72566,43491,85700,29367,6674,4384,133044,74189,2014,North Carolina
467,7,9751,517048,83775,129217,67915,95595,70462,66627,36382,12512,38338,6627,61885,128838,56727.0,246641,31011,778,4257,62928,501159,4615,26,19,120739,22220,33997,74640,45608,77224,26073,6480,5023,118517,76552,2014,North Carolina
468,8,8709,470157,85074,105653,61065,89335,67555,69505,34681,12718,29645,7946,66344,117168,134176.0,239747,32705,4263,3464,61031,455982,6327,81,230,112045,20722,33269,73409,38473,64384,20298,4397,2496,119168,51009,2014,North Carolina
469,9,10570,576325,85220,99010,56497,81897,75516,91191,56852,24910,90452,5946,82863,192924,193754.0,330238,31921,5639,4738,39581,567132,4065,0,0,100662,16278,34102,91190,47986,152488,52550,13390,4689,187739,47978,2014,North Carolina
470,10,9275,480472,77240,111936,64952,97148,71931,62934,32941,9946,28684,4575,45627,111587,34053.0,241547,23350,830,3136,42699,470349,5194,0,125,122052,25162,34102,71969,46276,59410,21018,4390,2223,122685,71386,2014,North Carolina
471,11,8783,523243,67489,123565,68433,100259,81582,68625,39156,11726,29897,8805,56150,121384,39688.0,231634,29635,1388,6868,44217,505156,4527,0,55,124519,24593,31324,82256,47399,84976,28972,8922,5771,116280,94761,2014,North Carolina
472,12,8433,488934,93736,120277,63942,96554,74939,64590,29804,10773,28055,10977,80787,131311,215701.0,237578,38298,8670,6993,79257,461188,8061,76,0,121422,16378,24625,72959,32696,74930,23858,5326,3406,113095,39896,2014,North Carolina
